student_id,name,grade,section,subject,semester,attendance_pct,participation_level,late_submissions,missing_assignments,total_assignments,quiz_1,quiz_2,quiz_3,quiz_4,quiz_5,quiz_avg,assignment_1,assignment_2,assignment_3,assignment_4,assignment_5,assignment_6,assignment_7,assignment_8,assignment_avg,midterm_score,final_exam_score,overall_score,weak_topic,second_weak_topic,days_since_login,parent_phone,parent_email,risk_score,risk_level
STU1001,Faisal Khan,Grade 10,A,Pakistan Studies,Spring 2025,43.0,Medium,8,2,8,38,33,21,20,22,26.8,36.0,,39.0,,20.0,37.0,26.0,42.0,33.33,32,34,31.93,Historical Events,Natural Resources,25,03174676249,parent.faisal10@gmail.com,64.9,High Risk
STU1002,Rahim Syed,Grade 10,A,English,Spring 2025,90.0,Medium,0,0,8,86,86,94,83,100,89.8,79.0,92.0,95.0,81.0,90.0,80.0,95.0,87.0,87.38,96,86,89.54,Prepositions,Punctuation,0,03112300889,parent.rahim94@gmail.com,12.55,Low Risk
STU1003,Farah Mehmood,Grade 9,A,Mathematics,Fall 2025,78.9,Medium,3,1,8,56,71,58,72,71,65.6,69.0,,70.0,55.0,67.0,73.0,57.0,55.0,63.71,58,62,62.06,Probability,Matrices,7,03187048983,parent.farah17@gmail.com,30.68,Medium Risk
STU1004,Farah Raza,Grade 10,B,Islamiyat,Fall 2025,66.5,Low,6,3,8,40,35,32,48,49,40.8,24.0,,,27.0,43.0,37.0,37.0,,33.6,43,32,36.83,Islamic History,Prayer,18,03158873467,parent.farah27@gmail.com,58.6,High Risk
STU1005,Naila Durrani,Grade 8,A,Mathematics,Spring 2025,96.9,High,0,0,8,87,87,94,89,91,89.6,86.0,95.0,78.0,99.0,81.0,99.0,95.0,86.0,89.88,87,93,90.2,Calculus,Algebra,1,03221795530,parent.naila10@gmail.com,3.53,Low Risk
STU1006,Bushra Hashmi,Grade 9,C,Islamiyat,Spring 2025,89.5,High,2,0,8,81,79,86,99,80,85.0,95.0,94.0,78.0,97.0,88.0,93.0,78.0,81.0,88.0,85,81,84.2,Pillars of Islam,Islamic History,1,03252298718,parent.bushra20@gmail.com,11.9,Low Risk
STU1007,Talha Durrani,Grade 8,C,Islamiyat,Spring 2025,53.8,Low,6,5,8,50,26,49,37,44,41.2,34.0,48.0,,,36.0,,,,39.33,32,27,33.56,Prayer,Hadith,9,03190754153,parent.talha12@gmail.com,64.81,High Risk
STU1008,Shabana Memon,Grade 12,A,Science,Spring 2025,58.3,Low,4,4,8,22,36,27,28,41,30.8,43.0,,49.0,48.0,,38.0,,,44.5,32,45,38.81,Ecology,Optics,22,03316760825,parent.shabana62@gmail.com,59.81,High Risk
STU1009,Imran Sheikh,Grade 11,B,Mathematics,Fall 2025,82.1,Low,1,0,8,62,73,60,75,53,64.6,57.0,56.0,56.0,67.0,64.0,54.0,63.0,55.0,59.0,57,52,57.17,Trigonometry,Number Theory,5,03316901819,parent.imran80@gmail.com,31.72,Medium Risk
STU1010,Yousuf Noor,Grade 12,A,Pakistan Studies,Spring 2025,97.7,Medium,1,0,8,90,81,87,76,80,82.8,90.0,78.0,90.0,86.0,92.0,87.0,91.0,100.0,89.25,82,86,85.01,Historical Events,Major Cities,2,03158438638,parent.yousuf17@gmail.com,14.49,Low Risk
STU1011,Mohsin Lodhi,Grade 10,A,Mathematics,Spring 2025,92.5,High,0,0,8,76,91,77,80,77,80.2,97.0,80.0,99.0,85.0,90.0,81.0,96.0,85.0,89.12,97,82,86.81,Sequences,Fractions,3,03276462265,parent.mohsin84@gmail.com,7.2,Low Risk
STU1012,Hassan Khawaja,Grade 10,A,English,Fall 2025,51.5,Low,6,5,8,30,49,44,49,22,38.8,,22.0,37.0,,,,26.0,,28.33,29,31,31.53,Antonyms,Literature,9,03165574598,parent.hassan57@gmail.com,66.1,High Risk
STU1013,Irfan Mirza,Grade 12,C,Urdu,Fall 2025,99.8,High,0,0,8,96,92,84,96,78,89.2,82.0,86.0,81.0,81.0,95.0,82.0,86.0,87.0,85.0,100,90,91.34,Qawaid,Prose,1,03284548605,parent.irfan91@gmail.com,2.76,Low Risk
STU1014,Rohail Rehman,Grade 8,A,Islamiyat,Fall 2025,85.7,Medium,0,0,8,95,83,80,98,89,89.0,95.0,100.0,91.0,95.0,78.0,81.0,80.0,100.0,90.0,79,91,87.4,Fiqh,Ramadan,1,03215369993,parent.rohail26@gmail.com,14.04,Low Risk
STU1015,Ayesha Aslam,Grade 8,B,English,Spring 2025,95.0,High,2,0,8,88,94,98,79,82,88.2,83.0,83.0,91.0,78.0,83.0,88.0,91.0,99.0,87.0,83,83,84.84,Vocabulary,Punctuation,3,03110395056,parent.ayesha70@gmail.com,9.45,Low Risk
STU1016,Kamran Iqbal,Grade 11,B,Islamiyat,Fall 2025,98.1,Medium,2,0,8,81,87,85,83,77,82.6,86.0,89.0,98.0,94.0,90.0,99.0,95.0,88.0,92.38,86,85,86.25,Quran Tafseer,Fiqh,2,03110269588,parent.kamran23@gmail.com,16.92,Low Risk
STU1017,Farhan Syed,Grade 10,B,English,Spring 2025,78.1,Medium,4,0,8,66,75,67,71,73,70.4,73.0,73.0,71.0,56.0,61.0,63.0,52.0,71.0,65.0,71,55,64.08,Punctuation,Tenses,7,03180617145,parent.farhan74@gmail.com,30.97,Medium Risk
STU1018,Amber Niazi,Grade 11,C,English,Fall 2025,87.9,High,1,0,8,96,98,80,94,93,92.2,87.0,90.0,95.0,78.0,87.0,87.0,84.0,91.0,87.38,92,94,91.82,Prepositions,Punctuation,3,03281362305,parent.amber37@gmail.com,8.08,Low Risk
STU1019,Naila Bokhari,Grade 9,C,Islamiyat,Spring 2025,79.3,Medium,1,0,8,71,59,57,75,56,63.6,54.0,50.0,51.0,57.0,65.0,69.0,77.0,74.0,62.12,63,60,61.89,Hadith,Zakat,7,03286926170,parent.naila59@gmail.com,24.81,Low Risk
STU1020,Saba Awan,Grade 9,C,Science,Spring 2025,97.9,High,1,0,8,82,80,100,97,91,90.0,92.0,79.0,95.0,85.0,81.0,92.0,82.0,92.0,87.25,97,90,91.2,Genetics,Ecology,3,03264457605,parent.saba74@gmail.com,5.63,Low Risk
STU1021,Furqan Memon,Grade 9,C,Urdu,Fall 2025,80.5,High,3,2,8,65,70,57,58,64,62.8,59.0,,57.0,58.0,60.0,,60.0,78.0,62.0,54,57,58.41,Insha,Grammar,3,03202820253,parent.furqan98@gmail.com,25.15,Low Risk
STU1022,Kiran Chaudhry,Grade 11,B,Mathematics,Fall 2025,75.8,Medium,4,1,8,74,68,72,50,74,67.6,65.0,50.0,61.0,59.0,74.0,62.0,,77.0,64.0,73,62,66.27,Matrices,Sequences,5,03158900547,parent.kiran44@gmail.com,33.61,Medium Risk
STU1023,Huma Durrani,Grade 11,B,Mathematics,Fall 2025,97.6,High,2,0,8,92,75,87,93,93,88.0,99.0,78.0,80.0,98.0,91.0,82.0,92.0,83.0,87.88,90,90,89.18,Fractions,Calculus,1,03222057421,parent.huma51@gmail.com,8.72,Low Risk
STU1024,Lubna Gill,Grade 11,B,English,Spring 2025,80.5,Low,3,0,8,70,52,74,70,51,63.4,74.0,50.0,57.0,56.0,76.0,50.0,69.0,54.0,60.75,65,55,60.33,Vocabulary,Comprehension,6,03158509411,parent.lubna69@gmail.com,37.5,Medium Risk
STU1025,Waseem Cheema,Grade 12,C,Science,Spring 2025,87.5,Medium,2,0,8,75,84,93,96,87,87.0,90.0,100.0,84.0,80.0,96.0,100.0,98.0,85.0,91.62,99,99,95.12,Newton's Laws,Electricity,0,03313735615,parent.waseem82@gmail.com,19.0,Low Risk
STU1026,Ayesha Bhatti,Grade 11,C,Computer Science,Fall 2025,58.8,Low,7,5,8,23,33,50,31,40,35.4,43.0,,36.0,,50.0,,,,43.0,49,35,40.18,Algorithms,Recursion,21,03216923636,parent.ayesha85@gmail.com,67.26,High Risk
STU1027,Naveed Hussain,Grade 9,A,Islamiyat,Fall 2025,88.7,High,2,0,8,96,87,85,75,90,86.6,88.0,83.0,93.0,84.0,89.0,86.0,88.0,86.0,87.12,95,80,86.49,Ramadan,Islamic History,1,03122981554,parent.naveed40@gmail.com,11.74,Low Risk
STU1028,Rehan Durrani,Grade 9,C,Computer Science,Fall 2025,92.4,High,0,0,8,84,82,87,97,82,86.4,87.0,99.0,96.0,89.0,93.0,95.0,94.0,89.0,92.75,88,91,89.68,Networking,Recursion,3,03172723574,parent.rehan49@gmail.com,5.68,Low Risk
STU1029,Waseem Butt,Grade 9,B,Mathematics,Spring 2025,99.3,High,0,0,8,81,98,90,83,98,90.0,96.0,94.0,97.0,87.0,81.0,84.0,87.0,85.0,88.88,87,80,85.53,Calculus,Geometry,1,03173634887,parent.waseem15@gmail.com,2.71,Low Risk
STU1030,Hamza Memon,Grade 9,C,English,Fall 2025,40.4,Low,7,5,8,30,25,50,21,28,30.8,,22.0,38.0,,,40.0,,,33.33,29,45,35.83,Grammar,Vocabulary,25,03181560225,parent.hamza20@gmail.com,73.93,High Risk
STU1031,Iqra Malik,Grade 11,C,Computer Science,Spring 2025,90.7,High,1,0,8,93,88,84,93,94,90.4,79.0,97.0,81.0,84.0,98.0,84.0,86.0,99.0,88.5,85,85,86.78,Functions,OOP,0,03142018905,parent.iqra10@gmail.com,7.69,Low Risk
STU1032,Rehan Abbasi,Grade 12,B,Pakistan Studies,Fall 2025,48.4,Low,7,2,8,41,27,49,28,45,38.0,23.0,37.0,27.0,,40.0,24.0,49.0,,33.33,27,21,28.37,Culture,Constitution,12,03312769610,parent.rehan49@gmail.com,65.98,High Risk
STU1033,Farhan Pasha,Grade 11,A,English,Fall 2025,95.5,High,2,0,8,92,90,89,77,94,88.4,79.0,91.0,88.0,97.0,86.0,78.0,80.0,85.0,85.5,99,88,90.33,Prepositions,Grammar,0,03304845512,parent.farhan32@gmail.com,9.25,Low Risk
STU1034,Muneeb Khawaja,Grade 11,B,Pakistan Studies,Spring 2025,91.5,High,0,0,8,90,86,88,85,85,86.8,99.0,81.0,83.0,88.0,91.0,100.0,93.0,87.0,90.25,79,94,88.06,Natural Resources,Government,0,03184427556,parent.muneeb42@gmail.com,5.85,Low Risk
STU1035,Sumera Malik,Grade 11,C,Islamiyat,Spring 2025,93.1,High,0,0,8,91,86,94,99,90,92.0,98.0,92.0,79.0,84.0,86.0,95.0,82.0,87.0,87.88,81,80,84.23,Prayer,Zakat,1,03290530876,parent.sumera30@gmail.com,4.07,Low Risk
STU1036,Amber Memon,Grade 12,B,Mathematics,Spring 2025,64.4,Low,4,3,8,35,49,42,29,36,38.2,35.0,27.0,34.0,,,37.0,,24.0,31.4,44,36,37.52,Matrices,Statistics,30,03136643679,parent.amber18@gmail.com,54.88,Medium Risk
